,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
154,"API","Abrdn Property Income Trust Limited",SSC5,SSMM,85.73,70.71,26.49,85.73,
155,"APP","Appreciate Group Plc",ASM6,AMSM,5.64,4.39,123.27,4.39,
156,"APPS","Appscatter Group Plc",AMQ1,ASQ1,"-11.01","-10.49",0.95,"-10.49",
157,"APQ","Apq Global Limited",AMQ1,ASQ1,"-5.61","-5.62",5.10,"-5.61",
158,"APT","Axa Property Trust Limited",ON15,SET3,0.16,0.10,,0.10,
159,"APTA","Aptamer Group Plc",AMQ1,ASQ1,0.16,0.10,,0.10,
160,"APTD","Aptitude Software Group Plc",SSC5,SSMM,6.23,2.02,59.33,5.07,
161,"AQSG","Aquila Services Group Plc",SQS3,SSQ3,0.72,0.58,101.12,0.58,
162,"AQX","Aquis Exchange Plc",AMQ1,ASQ1,3.22,4.31,17.18,4.31,
163,"ARA","Aura Renewable Acquisitions Plc",SQS3,SSQ3,3.22,4.31,17.18,4.31,
164,"ARB","Argo Blockchain Plc",SQS3,SSQ3,39.27,37.34,74.20,37.34,
165,"ARBB","Arbuthnot Banking Group Plc",ASM7,AMSM,4.64,6.79,74.50,6.79,
166,"ARC","Arcontech Group Plc",AIMP,ASX1,1.04,0.71,2.99,1.05,
167,"ARCM","Arc Minerals Limited",AIMP,ASX1,"-5.45","-5.36",,"-5.36",
168,"ARDN","Arden Partners Plc",AIMP,ASX1,0.84,1.26,9.28,1.26,
169,"ARE","Arena Events Group Plc",AMQ1,ASQ1,"-12.80","-12.70",71.60,"-12.70",
170,"AREC","Arecor Therapeutics Plc",AMQ1,ASQ1,"-6.95","-6.17",1.16,"-6.17",
171,"ARG","Argos Resources Limited",AMQ1,ASQ1,"-0.26","-0.26",,"-0.26",
172,"ARGO","Argo Group Limited",AIMP,ASX1,0.22,0.22,3.24,0.22,
173,"ARIX","Arix Bioscience Plc",SQS3,SSQ3,"-61.08","-60.99",0.34,"-60.99",
174,"ARK","Arkle Resources Plc",AIMP,ASX1,0.36,0.36,,0.36,
175,"ARR","Aurora Investment Trust Plc",SSC6,SSMM,1.44,0.99,2.31,1.41,
176,"ARS","Asiamet Resources Limited",AMQ1,ASQ1,"-1.51","-2.95",,"-2.95",
177,"ART","The Artisanal Spirits Company Plc",AMQ1,ASQ1,"-2.72","-3.65",18.24,"-3.65",
178,"ARTL","Alpha Real Trust Limited",SFQQ,SFM2,2.52,1.99,5.46,2.44,
179,"ARV","Artemis Resources Limited",AMQ1,ASQ1,2.52,1.99,5.46,2.44,
180,"ARW","Arrow Global Group Plc",ON10,SET3,"-114.82","-92.83",167.49,"-92.83",
181,"ASAI","Asa International Group Plc",ON15,SET3,19.01,6.50,116.72,6.50,
182,"ASBE","Associated British Engineering Plc",SQQ3,SSQ3,"-1.81","-1.73",1.13,"-1.73",
183,"ASC","Asos Plc",F25T,STMM,177.10,128.40,3910.50,128.40,
184,"ASCI","Abrdn Smaller Companies Income Trust Plc",SQQ3,SSQ3,2.17,0.26,2.82,2.14,
185,"ASCL","Ascential Plc",F25F,STMM,"-39.60",223.10,349.30,223.10,
186,"ASH","Ashley House Plc",AIMP,ASX1,1.75,2.04,18.47,2.04,
187,"ASHM","Ashmore Group Plc",F25F,STMM,282.50,121.80,292.90,240.10,
188,"ASIT","Aberforth Split Level Income Trust Plc",SSC6,SSMM,9.16,2.22,10.02,9.14,
189,"ASIZ","Aberforth Split Level Income Trust Plc",SQS3,SSQ3,9.16,2.22,10.02,9.14,
190,"ASL","Aberforth Smaller Companies Trust Plc",F25F,STMM,32.54,2.54,37.33,32.54,
191,"ASLI","Abrdn European Logistics Income Plc",SSC6,SSMM,11.44,"-2.72",22.65,10.89,
192,"ASLR","Asimilar Group Plc",AIMP,ASX1,26.71,26.71,0.01,26.71,
193,"ASO","Avesoro Resources Inc.",AIMP,ASX1,"-12.88","-23.42",221.76,"-23.42",
194,"ASP","African Pioneer Plc",SQS3,SSQ3,"-12.88","-23.42",221.76,"-23.42",
195,"AST","Ascent Resources Plc",AMQ1,ASQ1,"-1.97","-1.97",,"-1.97",
196,"ASTO","Assetco Plc",AMQ1,ASQ1,16.13,14.80,0.41,14.80,
197,"ASY","Andrews Sykes Group Plc",AMQ1,ASQ1,19.50,5.67,75.22,15.54,
198,"AT.","Ashtead Technology Holdings Plc",AS50,AMSM,3.59,2.53,55.80,2.53,
199,"ATG","Auction Technology Group Plc",F25T,STMM,"-27.31","-29.63",70.80,"-29.63",
200,"ATM","Andrada Mining Limited",AMQ1,ASQ1,"-5.80","-5.69",4.99,"-5.69",
201,"ATN","Aterian Plc",SQS3,SSQ3,"-5.80","-5.69",4.99,"-5.69",
202,"ATOM","Atome Energy Plc",AMQ1,ASQ1,"-1.66","-1.66",,"-1.66",
